name,album,artist,id,release_date,popularity,danceability,energy,valence,loudness,kmeans
Posing In Bondage,Jubilee,Japanese Breakfast,33qgZ7mWvlH95efOGQqfzZ,2021-06-04,58,0.581,0.65,0.199,-7.531,1
Machinist,Soft Sounds from Another Planet,Japanese Breakfast,13FGWUlqQpGugvEcnEUqou,2017-07-14,46,0.566,0.722,0.143,-7.294,1
The Woman That Loves You,Psychopomp,Japanese Breakfast,1Ddmip7ro8VGzhTbDE4pcg,2016-04-01,46,0.517,0.772,0.33,-5.941,0
Say It Ain't So - Recorded At Electric Lady Studios,Live At Electric Lady,Japanese Breakfast,3rCSLDwMorMuEV368DjHCx,2021-10-28,44,0.559,0.202,0.319,-11.313,1
Slide Tackle,Jubilee,Japanese Breakfast,5ksM8r8u4AjMwvtqUif9W1,2021-06-04,58,0.746,0.603,0.874,-6.516,0
Till Death,Soft Sounds from Another Planet,Japanese Breakfast,3wJVQr9ZfLZfcj19aIfjub,2017-07-14,48,0.447,0.341,0.279,-8.525,1
In Heaven,Psychopomp,Japanese Breakfast,7vKMp9RBcZHn9ZaZhy2DVv,2016-04-01,44,0.376,0.715,0.411,-5.499,0
Chum Lair,Sable (Original Video Game Soundtrack),Japanese Breakfast,2QzlKD3VVnx0dpuyRJT8lb,2021-09-24,36,0.597,0.381,0.0756,-10.808,1
Savage Good Boy,Jubilee,Japanese Breakfast,0EredcGoVUJTRiBLmwI0AO,2021-06-04,59,0.707,0.745,0.3,-6.315,0
The Body Is a Blade,Soft Sounds from Another Planet,Japanese Breakfast,6TBgnQqDXmGECYuZYgj6DI,2017-07-14,47,0.52,0.719,0.386,-6.237,0
Dreams - Recorded at Spotify Studios NYC,Spotify Singles,Japanese Breakfast,4sMJ05OSIYdmHdnxfosvfb,2018-04-25,46,0.525,0.551,0.575,-9.131,0
Better the Mask,Sable (Original Video Game Soundtrack),Japanese Breakfast,6tQfAfTBvhmgJCjOPsltN4,2021-09-24,42,0.45,0.325,0.217,-7.536,1
Triple 7,Psychopomp,Japanese Breakfast,6kQiOcWYO8pHWJMQpJsrsU,2016-04-01,38,0.186,0.311,0.114,-9.425,1
Rugged Country,Psychopomp,Japanese Breakfast,6J4N6W6oMS7gBV6zrtMjCG,2016-04-01,40,0.397,0.721,0.496,-3.225,0
Lindsey - Recorded At Electric Lady Studios,Live At Electric Lady,Japanese Breakfast,0Wgjuj7ZgodP2eLzzjLSAc,2021-10-28,40,0.419,0.0933,0.219,-15.334,1
Beetle's Nest,Sable (Original Video Game Soundtrack),Japanese Breakfast,29s3yWgAuXwDYo515XTRxX,2021-09-24,36,0.305,0.445,0.311,-13.244,1
